品番数,品目,除外理由
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,経年4年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,経年4年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,構成NG(E/G)
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,構成NG(E/G)
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,構成NG(E/G)
1,E/G,経年4年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,構成NG(E/G)
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,構成NG(E/G)
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,構成NG(E/G)
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,構成NG(E/G)
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,構成NG(E/G)
1,E/G,車種
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,車種
1,E/G,車種
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,デフH品番(海外)
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,車種
1,E/G,車種
1,E/G,車種
1,E/G,車種
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,車種
1,E/G,車種
1,E/G,車種
1,E/G,車種
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,車種
1,E/G,車種
1,E/G,車種
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,車種
1,E/G,車種
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,車種
1,E/G,車種
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,車種
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,車種
1,E/G,車種
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,構成NG(E/G)
1,E/G,構成NG(E/G)
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,構成NG(E/G)
1,E/G,構成NG(E/G)
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,日野OEM
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,日野OEM
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,日野OEM
1,E/G,日野OEM
1,E/G,経年4年未満
1,E/G,日野OEM
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,日野OEM
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,日野OEM
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,車種
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,車種
1,E/G,車種
1,E/G,車種
1,E/G,車種
1,E/G,車種
1,E/G,車種
1,E/G,車種
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,車種
1,E/G,車種
1,E/G,車種
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,車種
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,車種
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,構成NG(E/G)
1,E/G,構成NG(E/G)
1,E/G,構成NG(E/G)
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,構成NG(E/G)
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,構成NG(E/G)
1,E/G,構成NG(E/G)
1,E/G,構成NG(E/G)
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,構成NG(E/G)
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,構成NG(E/G)
1,E/G,構成NG(E/G)
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,構成NG(E/G)
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,構成NG(E/G)
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,経年4年未満
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,車種
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,4年目～8年未満かつ直近3年受注有
1,E/G,車種
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,経年4年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,経年4年未満
1,E/G,8年目～かつ直近3年平均5個より多
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
1,E/G,K1コメント有、かつ終期から3年未満
